post_id,title,category,score,num_comments,author,collected_at
47673005,We found an undocumented bug in the Apollo 11 guidance computer code,technology,292,153,henrygarner,2026-04-07 22:26:35
47672318,Blackholing My Email,technology,129,16,semyonsh,2026-04-07 22:26:35
47676521,Claude Code is locking people out for hours,technology,177,216,sh1mmer,2026-04-07 22:26:35
47673541,AI may be making us think and write more alike,technology,182,182,giuliomagnifico,2026-04-07 22:26:35
47674950,An AI robot in my home,technology,6,0,kukanani,2026-04-07 22:26:35
47660925,Issue: Claude Code is unusable for complex engineering tasks with Feb updates,technology,1260,699,StanAngeloff,2026-04-07 22:26:35
47662596,AI singer now occupies eleven spots on iTunes singles chart,technology,230,357,flinner,2026-04-07 22:26:35
47676363,"Claude is having another moment, again",technology,15,0,ksajadi,2026-04-07 22:26:35
47629021,Global Physics Photowalk: 2025 winners revealed,sports,14,1,ibobev,2026-04-07 22:26:37
47672778,Breaking the console: a brief history of video game security,sports,71,22,sprado,2026-04-07 22:26:37
47627217,Running Out of Disk Space in Production,science,115,56,romes,2026-04-07 22:26:39
47676557,Moving fast in hardware: lessons from lab to $100M ARR,worldnews,43,9,rryan,2026-04-07 22:26:41
47670981,"Three hundred synths, 3 hardware projects, and one app",worldnews,105,14,ductionist,2026-04-07 22:26:41
47660954,German police name alleged leaders of GandCrab and REvil ransomware groups,worldnews,316,155,Bender,2026-04-07 22:26:41
47662945,Show HN: GovAuctions lets you browse government auctions at once,worldnews,302,85,player_piano,2026-04-07 22:26:41
